17 Jan 2014,1866.95
09:01,1852.00,0
09:04,1869.90,0
09:07,1869.00,0
09:16,1866.10,1189
09:17,1860.00,1645
09:20,1857.00,3474
09:23,1842.00,4770
09:26,1845.00,5388
09:29,1853.90,6104
09:32,1850.00,6449
09:35,1842.15,6961
09:38,1839.00,7907
09:41,1837.75,8669
09:43,1838.10,9144
09:46,1833.90,9525
09:49,1836.70,9847
09:52,1836.10,10222
09:55,1835.00,10890
09:58,1830.40,12511
10:01,1832.20,12772
10:04,1835.75,13410
10:07,1835.40,13447
10:10,1833.15,13784
10:16,1831.05,13981
10:18,1833.90,13993
10:21,1832.10,14103
10:24,1831.90,14569
10:26,1833.50,14774
10:29,1831.20,14865
10:32,1834.30,14885
10:34,1829.55,15497
10:38,1821.95,16949
10:41,1822.90,18339
10:44,1824.00,18453
10:47,1822.50,18741
10:50,1824.00,18952
10:53,1824.50,19165
10:56,1823.20,19785
10:59,1822.35,19868
11:02,1820.00,20167
11:05,1819.90,20547
11:09,1820.00,20838
11:10,1820.00,20879
11:12,1818.65,24386
11:15,1820.00,24672
11:18,1819.70,25415
11:21,1819.00,26090
11:24,1815.00,27199
11:27,1814.00,28083
11:30,1813.00,28408
11:33,1813.40,28848
11:35,1815.55,28963
11:38,1815.35,29335
11:41,1813.00,29741
11:44,1812.10,29994
11:47,1805.10,30944
11:50,1809.00,31498
11:54,1808.50,31977
11:57,1806.85,32424
12:03,1800.00,37250
12:06,1802.80,38347
12:08,1806.05,38876
12:12,1800.00,39957
12:15,1801.35,40229
12:17,1803.80,40738
12:21,1806.35,41192
12:24,1807.00,41758
12:27,1804.25,42067
12:30,1805.65,42438
12:33,1803.40,42951
12:36,1806.00,44779
12:39,1805.25,45286
12:41,1803.95,45574
12:45,1802.95,46360
12:48,1802.10,46476
12:51,1804.80,46614
12:54,1803.80,46713
12:57,1803.00,46968
12:59,1804.00,47156
13:03,1802.95,47562
13:06,1803.15,47980
13:09,1799.05,50295
13:12,1799.90,51373
13:18,1796.50,52739
13:21,1790.00,56791
13:24,1788.55,57284
13:27,1780.05,59562
13:30,1778.95,61828
13:32,1778.80,63711
13:36,1785.30,64884
13:39,1787.95,65773
13:42,1790.35,67162
13:45,1790.00,68028
13:47,1791.00,68461
13:51,1791.50,68665
13:54,1790.05,68893
13:57,1790.70,69227
14:00,1791.00,69397
14:03,1790.00,69580
14:06,1789.80,69946
14:09,1789.10,70488
14:12,1788.45,70889
