18 Sep 2013,340.70
09:07,342.40,751
09:20,343.35,131694
09:25,343.60,171360
09:30,344.00,202257
09:34,342.35,235586
09:40,342.65,274079
09:45,342.85,305733
09:50,342.60,338716
09:54,342.55,358129
10:00,341.85,419908
10:05,342.45,439229
10:10,341.85,456331
10:15,340.00,522151
10:20,340.55,554675
10:25,341.45,567445
10:30,339.75,608359
10:35,339.75,630922
10:40,339.50,652967
10:45,339.60,674129
10:50,340.30,698594
10:55,341.85,746763
11:00,341.05,777633
11:05,340.75,790528
11:10,340.55,801531
11:15,340.45,812596
11:20,340.15,822016
11:25,340.65,826142
11:30,340.90,831509
11:35,340.10,842848
11:40,339.60,870139
11:45,339.40,926766
11:50,338.85,977607
11:55,339.50,1015836
12:00,339.45,1032526
12:05,339.30,1039223
12:10,338.50,1053549
12:15,338.70,1092621
12:20,339.15,1109806
12:25,339.00,1119744
12:30,339.20,1133566
12:35,339.10,1143829
12:40,338.45,1165909
12:45,338.50,1180944
12:50,337.95,1242329
12:55,337.80,1261898
13:00,336.90,1291972
13:05,337.50,1333207
13:10,337.30,1342794
13:15,337.55,1361178
13:20,337.80,1373089
13:25,337.80,1380608
13:35,337.90,1393643
13:40,337.70,1400975
13:45,338.70,1426858
13:50,337.95,1435373
13:55,337.90,1442648
14:00,338.50,1450039
14:05,338.80,1466578
14:10,337.55,1477271
14:15,337.75,1492423
14:20,337.40,1509389
14:25,337.00,1558066
14:35,336.90,1588371
14:40,337.05,1608230
14:45,337.30,1621246
14:50,337.80,1657097
14:55,338.35,1691561
15:00,338.25,1721368
15:05,339.25,1786762
15:10,340.00,1869082
15:15,340.45,1926556
15:20,341.40,2039584
15:25,341.90,2124806
15:30,339.35,2280957
15:31,340.60,2280957
15:40,340.60,2282362
15:44,340.60,2287742
15:49,340.60,2290376
15:52,340.60,2290446
15:56,340.60,2290447
