08 Aug 2013,5519.10
09:00,5456.80,731749328
09:05,5512.90,731749328
09:10,5510.05,731749328
09:15,5510.05,731749328
09:20,5515.95,731749328
09:25,5527.75,731749328
09:30,5524.20,731749328
09:35,5524.50,731749328
09:40,5535.65,731749328
09:45,5536.90,731749328
09:50,5533.50,731749328
09:55,5523.45,731749328
10:00,5525.15,731749328
10:05,5525.85,731749328
10:10,5521.80,731749328
10:15,5514.35,731749328
10:20,5520.70,731749328
10:25,5520.60,731749328
10:35,5524.30,731749328
10:40,5524.20,731749328
10:45,5533.20,731749328
10:50,5534.60,731749328
10:55,5533.75,731749328
11:00,5526.70,731749328
11:05,5533.90,731749328
11:10,5533.80,731749328
11:15,5528.80,731749328
11:20,5533.60,731749328
11:25,5544.45,731749328
11:30,5545.50,731749328
11:35,5540.85,731749328
11:40,5539.00,731749328
11:45,5540.70,731749328
11:50,5546.85,731749328
11:55,5545.20,731749328
12:00,5541.45,731749328
12:05,5543.60,731749328
12:10,5542.45,731749328
12:15,5541.35,731749328
12:20,5544.65,731749328
12:25,5546.45,731749328
12:30,5545.15,731749328
12:35,5551.60,731749328
12:40,5560.00,731749328
12:45,5555.35,731749328
12:50,5555.05,731749328
12:55,5559.10,731749328
13:00,5555.00,731749328
13:05,5547.20,731749328
13:10,5551.60,731749328
13:15,5548.75,731749328
13:20,5558.05,731749328
13:25,5564.50,731749328
13:30,5559.80,731749328
13:35,5548.70,731749328
13:40,5548.20,731749328
13:45,5549.60,731749328
13:50,5553.30,731749328
13:55,5549.45,731749328
14:00,5551.70,731749328
14:05,5561.55,731749328
14:10,5563.40,731749328
14:15,5562.15,731749328
14:19,5557.30,731749328
14:25,5557.30,731749328
14:30,5556.45,731749328
14:35,5561.30,731749328
14:40,5560.30,731749328
14:50,5562.30,731749328
14:55,5563.60,731749328
15:00,5571.35,731749328
15:05,5571.35,731749328
15:10,5564.70,731749328
15:15,5560.70,731749328
15:20,5565.30,731749328
15:25,5563.50,731749328
15:30,5559.20,731749328
15:35,5565.65,731749328
15:40,5565.65,731749328
15:45,5565.65,731749328
15:50,5565.65,731749328
15:55,5565.65,731749328
16:00,5565.65,731749328
16:05,5565.65,731749328
16:10,5565.65,731749328
