08 Aug 2013,18664.88
09:02,18689.79,0
09:03,18683.92,
09:05,18707.58,0
09:06,18706.02,
09:08,18687.30,0
09:09,18687.30,
09:17,18696.70,0
09:18,18668.56,
09:20,18631.33,0
09:21,18624.86,
09:23,18652.60,0
09:24,18663.22,
09:26,18666.92,
09:29,18669.50,0
09:30,18657.92,
09:32,18657.44,0
09:33,18660.57,
09:35,18673.79,0
09:36,18663.63,
09:38,18641.74,0
09:39,18661.23,
09:41,18700.34,0
09:42,18707.62,
09:44,18707.33,0
09:45,18700.23,
09:47,18700.08,0
09:48,18715.80,
09:50,18712.61,0
09:51,18701.17,
09:53,18708.54,0
09:54,18695.81,
09:56,18676.14,0
09:57,18669.36,
09:59,18656.02,0
10:00,18656.87,
10:02,18673.54,0
10:03,18672.47,
10:05,18678.76,0
10:06,18667.03,
10:08,18670.28,0
10:09,18657.59,
10:11,18661.60,0
10:12,18657.70,
10:14,18647.45,0
10:15,18644.20,
10:18,18640.74,
10:19,18651.90,0
10:20,18644.50,
10:23,18660.43,0
10:24,18659.34,
10:26,18649.66,0
10:27,18662.00,
10:29,18668.40,
10:31,18664.53,
10:32,18670.38,0
10:35,18670.26,
10:38,18656.77,
10:41,18664.76,
10:44,18687.95,
10:47,18700.77,
10:50,18701.39,
10:53,18694.97,
10:56,18703.53,
10:59,18684.66,
11:01,18678.20,
11:02,18686.71,0
11:04,18692.34,
11:07,18705.34,
11:08,18698.34,0
11:10,18696.18,
11:11,18690.79,0
11:13,18672.26,
11:14,18678.78,0
11:15,18677.33,
11:17,18685.53,0
11:19,18685.07,
11:20,18698.21,0
11:22,18696.06,
11:23,18704.15,0
11:25,18728.79,
11:26,18719.32,0
11:28,18719.42,
11:29,18716.05,0
11:31,18724.05,
11:32,18717.63,0
11:33,18719.32,
11:35,18718.00,0
11:36,18719.80,
11:38,18711.47,0
11:39,18709.81,
11:41,18722.43,0
11:42,18714.63,
11:44,18717.43,0
11:45,18716.24,
11:47,18726.41,0
11:48,18732.82,
11:50,18735.38,0
11:51,18735.98,
11:53,18749.56,0
11:54,18739.95,
11:56,18737.86,0
11:57,18727.96,
11:59,18723.66,
12:02,18723.29,
12:05,18722.91,
12:08,18731.00,
12:11,18723.93,
12:14,18715.92,
12:17,18724.41,
12:20,18728.38,
12:23,18717.44,
12:26,18732.97,
12:27,18730.14,0
12:29,18745.72,
12:30,18731.75,0
12:32,18756.67,
12:33,18754.75,0
12:35,18750.58,
12:36,18744.60,0
12:38,18772.01,
12:39,18776.88,
12:41,18777.11,
12:42,18772.99,0
12:44,18763.56,
12:47,18761.43,
12:48,18757.09,0
12:50,18777.61,
12:52,18765.44,
12:54,18768.23,0
12:56,18786.26,
12:57,18769.86,0
12:59,18756.40,
13:02,18758.71,
13:03,18726.01,0
13:05,18735.87,
13:06,18736.74,0
13:09,18745.79,0
13:11,18745.11,
13:12,18750.84,0
13:14,18749.32,
13:15,18758.64,0
13:17,18733.32,
13:18,18738.61,0
13:20,18763.94,
13:21,18769.33,0
13:23,18787.89,
13:24,18797.54,0
13:26,18784.41,
13:27,18796.91,0
13:29,18782.29,
13:30,18776.87,0
13:32,18773.17,
13:33,18785.45,0
13:35,18752.02,
13:36,18746.46,0
13:38,18754.84,
13:39,18760.45,0
13:40,18747.24,
13:42,18742.88,0
13:45,18741.29,0
13:47,18746.69,
13:49,18746.91,0
13:50,18760.26,
13:52,18753.04,0
13:53,18752.59,
13:54,18753.00,0
13:55,18747.46,
13:57,18746.86,0
13:59,18747.27,
14:00,18763.94,0
14:02,18763.50,
14:04,18776.02,0
14:05,18794.48,
14:06,18790.48,
14:09,18792.19,0
14:10,18796.91,
14:13,18801.32,
14:15,18786.06,
14:16,18796.54,0
14:19,18787.72,
14:22,18773.55,
14:25,18765.55,
14:28,18777.81,
14:31,18763.21,
14:34,18783.11,
14:37,18788.83,
14:39,18792.99,
14:43,18788.45,
14:46,18788.47,
14:49,18777.62,
14:52,18784.02,
14:54,18783.01,0
14:55,18780.04,
14:56,18771.30,0
14:57,18785.06,
15:00,18813.91,0
15:01,18809.89,
15:04,18820.79,0
15:06,18807.35,0
15:07,18807.54,
15:09,18792.29,0
15:11,18784.25,
15:12,18781.57,0
15:13,18780.13,
15:16,18778.59,
15:19,18779.68,
15:21,18770.16,
15:22,18773.41,0
15:24,18775.27,
15:27,18772.43,
15:30,18759.26,
15:31,18759.26,0
15:33,18759.26,0
15:39,18759.26,0
15:40,18759.26,
15:42,18789.34,0
15:43,18789.34,
15:45,18789.34,0
15:47,18789.34,
15:50,18789.34,
15:53,18789.34,
15:55,18789.34,
15:57,18789.34,0
15:59,18789.34,
16:00,18789.34,
