17 Jan 2014,1907.75
09:07,1907.75,224
09:20,1912.00,10283
09:25,1911.10,13269
09:29,1921.35,28426
09:35,1925.95,42504
09:40,1929.00,54318
09:45,1926.50,60504
09:50,1930.45,153515
09:55,1924.00,159454
10:00,1924.80,164066
10:05,1924.40,165872
10:10,1924.95,167082
10:15,1920.10,169343
10:20,1924.20,171246
10:25,1925.00,175638
10:30,1926.00,177112
10:35,1926.00,181776
10:40,1926.40,183501
10:45,1928.55,185001
10:50,1928.05,186266
10:55,1928.10,186702
11:00,1928.15,187552
11:05,1930.80,189901
11:10,1930.35,191283
11:14,1930.35,192548
11:20,1931.00,194172
11:24,1932.00,203301
11:30,1932.00,204796
11:35,1936.45,214940
11:40,1937.90,218971
11:45,1936.10,224515
11:50,1938.00,228362
11:55,1936.00,230674
12:00,1935.65,232169
12:05,1932.00,234809
12:10,1935.15,237865
12:15,1932.75,239591
12:20,1932.90,243219
12:25,1932.05,245402
12:30,1931.80,250315
12:35,1931.50,251406
12:40,1931.35,252764
12:45,1932.00,254115
12:50,1932.15,255144
12:55,1932.00,257255
13:00,1932.05,258029
13:05,1932.05,259206
13:10,1932.00,260388
13:15,1932.00,261751
13:20,1932.25,263596
13:25,1932.00,265939
13:30,1932.90,269002
13:35,1937.00,276187
13:40,1938.45,281183
13:45,1937.80,284830
13:50,1937.00,290309
13:55,1937.95,293962
14:00,1937.95,298869
14:05,1937.85,303659
14:10,1937.00,310954
14:15,1937.40,321566
14:20,1936.20,326667
14:25,1932.15,331470
14:35,1932.30,349574
14:40,1932.00,360660
14:45,1932.60,378412
14:50,1932.00,388087
14:55,1930.65,402368
15:00,1930.65,413039
15:05,1932.00,432477
15:10,1933.00,447633
15:15,1933.90,467287
15:20,1935.00,481494
15:25,1935.00,494200
15:30,1934.05,505243
15:31,1933.45,505243
15:41,1933.45,505283
15:46,1933.45,505304
15:53,1933.45,505321
15:58,1933.45,505335
