27 Sep 2013,1942.90
10:01,1955.85,2530000
10:05,1955.00,2590000
10:11,1949.00,2680000
10:15,1951.00,2740000
10:21,1951.30,2770000
10:27,1952.40,2820000
10:31,1953.60,2840000
10:37,1955.00,2940000
10:41,1956.85,3040000
10:45,1956.05,3270000
10:51,1952.25,3330000
10:57,1954.00,3360000
11:01,1955.00,3390000
11:05,1955.00,3430000
11:11,1955.00,3470000
11:15,1954.95,3490000
11:21,1957.60,3540000
11:27,1955.10,3590000
11:31,1957.00,3640000
11:37,1954.90,3700000
11:41,1955.00,3760000
11:47,1956.70,3840000
11:49,1957.00,3850000
11:55,1956.00,3910000
12:01,1956.90,4000000
12:05,1958.40,4080000
12:11,1953.50,4300000
12:17,1952.70,4360000
12:21,1955.45,4390000
12:26,1953.55,4430000
12:31,1951.85,4510000
12:33,1951.75,4530000
12:37,1952.40,4550000
12:39,1953.00,4560000
12:43,1953.25,4600000
12:45,1952.75,4610000
12:49,1952.90,4640000
12:51,1951.65,4640000
12:55,1952.95,4680000
12:57,1951.55,4700000
12:59,1952.90,4710000
13:03,1953.00,4730000
13:06,1952.00,4770000
13:09,1948.95,4840000
13:13,1951.15,4870000
13:15,1947.50,4900000
13:19,1950.25,4940000
13:21,1950.00,4960000
13:25,1950.00,5020000
13:27,1949.75,5030000
13:31,1949.70,5050000
13:33,1950.00,5060000
13:37,1949.95,5120000
13:41,1950.00,5160000
13:43,1950.00,5200000
13:45,1950.00,5220000
13:49,1950.00,5270000
13:51,1950.00,5340000
13:55,1952.75,5440000
13:57,1952.60,5530000
14:01,1949.90,5560000
14:03,1949.75,5570000
14:07,1949.90,5620000
14:09,1949.85,5630000
14:13,1950.00,5650000
14:15,1950.00,5700000
14:19,1949.90,5840000
14:21,1951.95,5960000
14:25,1950.00,6040000
14:27,1949.95,6060000
14:31,1951.00,6140000
14:33,1950.45,6210000
